DataId,PagePath,WarningType,Message
9e9541fac8e2a8bcf07ba66291528ec4,Support/Docs/BSM_Platform/Core/Announcements_and_General_Info,PageCreationConflictsWithExistingPage,Could not import page with title 'Support/Docs/BSM_Platform/Core/Announcements_and_General_Info' because a different page already exists at this title. Consider moving this page to a different location and trying to import again.
3ee3b361b1ab1c10e5d4b9a0eda27c2a,Support/Docs/BSM_Platform/Core/Announcements_and_General_Info,SkippingPageFileBecausePagePreviouslySkipped,Skipping importing page property 'mindtouch.idf#guideDisplay' for page 'Support/Docs/BSM_Platform/Core/Announcements_and_General_Info' because the page could not be imported
a1e46fbc9189532c617307c88ba302c9,Support/Docs/BSM_Platform/Core/Announcements_and_General_Info,SkippingPageFileBecausePagePreviouslySkipped,Skipping importing page property 'mindtouch.page#welcomeHidden' for page 'Support/Docs/BSM_Platform/Core/Announcements_and_General_Info' because the page could not be imported
7009351f1b8573bf2e5bc69f139d0563,Support/Docs/BSM_Platform/Core/Announcements_and_General_Info,SkippingPageFileBecausePagePreviouslySkipped,Skipping importing page property 'mindtouch#idf.guideTabs' for page 'Support/Docs/BSM_Platform/Core/Announcements_and_General_Info' because the page could not be imported
35fd40935d727dc8fd4cdec17c055249,Support/Docs/BSM_Platform/Core/Announcements_and_General_Info,SkippingPagePermissionsBecausePagePreviouslySkipped,Skipping importing page permissions for page 'Support/Docs/BSM_Platform/Core/Announcements_and_General_Info' because the page could not be imported
(null),Support/Docs/BSM_Platform/Core/Announcements_and_General_Info/Future_Direction_of_the_Coupa_Core_Platform_import_7a98de33abb4467f9325c47ca02f2cb6,PageMoveTargetParentFailedToImport,Could not move page 'Support/Docs/BSM_Platform/Core/Announcements_and_General_Info/Future_Direction_of_the_Coupa_Core_Platform' to 'Support/Docs/BSM_Platform/Core/Announcements_and_General_Info/Future_Direction_of_the_Coupa_Core_Platform_import_7a98de33abb4467f9325c47ca02f2cb6' because the parent page 'Support/Docs/BSM_Platform/Core/Announcements_and_General_Info' could not be imported
6e2aa21b54aa9edb9ecc3a311b9ec46e,Support/Docs/BSM_Platform/Core/Announcements_and_General_Info/Future_Direction_of_the_Coupa_Core_Platform,SkippingPageCreationBecauseParentPagePreviouslySkipped,Could not import page with title 'Support/Docs/BSM_Platform/Core/Announcements_and_General_Info/Future_Direction_of_the_Coupa_Core_Platform' because a parent page ('Support/Docs/BSM_Platform/Core/Announcements_and_General_Info') previously failed.
c04ef93d747d804501463c146d6a33f2,Support/Docs/BSM_Platform/Core/Announcements_and_General_Info/Future_Direction_of_the_Coupa_Core_Platform_import_7a98de33abb4467f9325c47ca02f2cb6,SkippingPagePermissionsBecausePagePreviouslySkipped,Skipping importing page permissions for page 'Support/Docs/BSM_Platform/Core/Announcements_and_General_Info/Future_Direction_of_the_Coupa_Core_Platform_import_7a98de33abb4467f9325c47ca02f2cb6' because the page could not be imported
(null),Support/Docs/BSM_Platform/Core/Announcements_and_General_Info/Platform_Features_by_Release_import_040efb9995a24bea937a0fa141bb3300,PageMoveTargetParentFailedToImport,Could not move page 'Support/Docs/BSM_Platform/Core/Announcements_and_General_Info/Platform_Features_by_Release' to 'Support/Docs/BSM_Platform/Core/Announcements_and_General_Info/Platform_Features_by_Release_import_040efb9995a24bea937a0fa141bb3300' because the parent page 'Support/Docs/BSM_Platform/Core/Announcements_and_General_Info' could not be imported
bc3c8664bf302882a12ab9969e8b30af,Support/Docs/BSM_Platform/Core/Announcements_and_General_Info/Platform_Features_by_Release,SkippingPageCreationBecauseParentPagePreviouslySkipped,Could not import page with title 'Support/Docs/BSM_Platform/Core/Announcements_and_General_Info/Platform_Features_by_Release' because a parent page ('Support/Docs/BSM_Platform/Core/Announcements_and_General_Info') previously failed.
